inx,value,variable,name
2018-08-01,5.75958108901978,ET,asd
2018-08-01,1.58567547798157,GPP,asd
2018-08-01,5.75958108901978,LE,asd
2018-08-01,8.57999324798584,Rainf,asd
2019-08-01,4.95423364639282,ET,asd
2019-08-01,2.00615763664246,GPP,asd
2019-08-01,4.95423364639282,LE,asd
2019-08-01,7.18065023422241,Rainf,asd
2013-08-15,3.75829386711121,ET,asd
2013-08-15,2.34559464454651,GPP,asd
2013-08-15,3.75829386711121,LE,asd
2013-08-15,2.56650638580322,Rainf,asd
2014-08-15,2.65307903289795,ET,asd
2014-08-15,2.32737326622009,GPP,asd
2014-08-15,2.65307903289795,LE,asd
2014-08-15,1.42023384571075,Rainf,asd
2015-08-15,4.55022144317627,ET,asd
2015-08-15,2.71307754516602,GPP,asd
2015-08-15,4.55022144317627,LE,asd
2015-08-15,3.97068095207214,Rainf,asd
2016-08-15,1.24180066585541,ET,asd
2016-08-15,2.23995447158813,GPP,asd
2016-08-15,1.24180066585541,LE,asd
2016-08-15,0.0172570906579494,Rainf,asd
2017-08-15,4.4717845916748,ET,asd
2017-08-15,2.18658328056335,GPP,asd
2017-08-15,4.4717845916748,LE,asd
2017-08-15,5.25027084350586,Rainf,asd
2018-08-15,1.37636482715607,ET,asd
2018-08-15,1.72660326957703,GPP,asd
2018-08-15,1.37636482715607,LE,asd
2018-08-15,0.012236556969583,Rainf,asd
2019-08-15,2.09020018577576,ET,asd
2019-08-15,1.43197321891785,GPP,asd
2019-08-15,2.09020018577576,LE,asd
2019-08-15,0.468117475509644,Rainf,asd
2013-09-01,1.28044927120209,ET,asd
2013-09-01,2.56968188285828,GPP,asd
2013-09-01,1.28044927120209,LE,asd
2013-09-01,0.489726424217224,Rainf,asd
2014-09-01,2.94056558609009,ET,asd
2014-09-01,2.66027760505676,GPP,asd
2014-09-01,2.94056558609009,LE,asd
2014-09-01,2.64080262184143,Rainf,asd
2015-09-01,2.99024820327759,ET,asd
2015-09-01,2.39741826057434,GPP,asd
2015-09-01,2.99024820327759,LE,asd
2015-09-01,3.16060447692871,Rainf,asd
2016-09-01,2.341468334198,ET,asd
2016-09-01,2.08474922180176,GPP,asd
2016-09-01,2.341468334198,LE,asd
2016-09-01,1.2425229549408,Rainf,asd
2017-09-01,1.30490100383759,ET,asd
2017-09-01,1.83000481128693,GPP,asd
2017-09-01,1.30490100383759,LE,asd
2017-09-01,0,Rainf,asd
2018-09-01,0.986608326435089,ET,asd
2018-09-01,1.85130155086517,GPP,asd
2018-09-01,0.986608326435089,LE,asd
2018-09-01,0.00726533075794578,Rainf,asd
2019-09-01,1.74941408634186,ET,asd
2019-09-01,1.16372346878052,GPP,asd
2019-09-01,1.74941408634186,LE,asd
2019-09-01,0.572976410388947,Rainf,asd
2013-09-15,1.24360144138336,ET,asd
2013-09-15,2.7059850692749,GPP,asd
2013-09-15,1.24360144138336,LE,asd
2013-09-15,0.588184058666229,Rainf,asd
2014-09-15,1.93995368480682,ET,asd
2014-09-15,2.73997902870178,GPP,asd
2014-09-15,1.93995368480682,LE,asd
2014-09-15,1.42329001426697,Rainf,asd
2015-09-15,2.16960430145264,ET,asd
2015-09-15,2.56914734840393,GPP,asd
2015-09-15,2.16960430145264,LE,asd
2015-09-15,1.40952169895172,Rainf,asd
2016-09-15,1.68344521522522,ET,asd
2016-09-15,2.42717576026917,GPP,asd
2016-09-15,1.68344521522522,LE,asd
2016-09-15,0.804930150508881,Rainf,asd
2017-09-15,1.36103343963623,ET,asd
2017-09-15,2.1162543296814,GPP,asd
2017-09-15,1.36103343963623,LE,asd
2017-09-15,0.154219999909401,Rainf,asd
2018-09-15,0.884708285331726,ET,asd
2018-09-15,2.54246735572815,GPP,asd
2018-09-15,0.884708285331726,LE,asd
2018-09-15,0,Rainf,asd
2019-09-15,1.16911423206329,ET,asd
2019-09-15,1.68145406246185,GPP,asd
2019-09-15,1.16911423206329,LE,asd
2019-09-15,0,Rainf,asd
2013-10-01,1.60452222824097,ET,asd
2013-10-01,2.37196207046509,GPP,asd
2013-10-01,1.60452222824097,LE,asd
2013-10-01,1.04144072532654,Rainf,asd
2014-10-01,0.753881394863129,ET,asd
2014-10-01,2.47360849380493,GPP,asd
2014-10-01,0.753881394863129,LE,asd
2014-10-01,0.0822313204407692,Rainf,asd
2015-10-01,1.28739833831787,ET,asd
2015-10-01,2.26835441589355,GPP,asd
2015-10-01,1.28739833831787,LE,asd
2015-10-01,0.478102445602417,Rainf,asd
2016-10-01,1.97907042503357,ET,asd
2016-10-01,2.24825024604797,GPP,asd
2016-10-01,1.97907042503357,LE,asd
2016-10-01,2.41693878173828,Rainf,asd
2017-10-01,2.53391122817993,ET,asd
2017-10-01,2.22250366210938,GPP,asd
2017-10-01,2.53391122817993,LE,asd
2017-10-01,4.90022611618042,Rainf,asd
2018-10-01,1.22953033447266,ET,asd
2018-10-01,2.53210043907166,GPP,asd
2018-10-01,1.22953033447266,LE,asd
2018-10-01,0.415804326534271,Rainf,asd
2019-10-01,1.60024464130402,ET,asd
2019-10-01,2.0342001914978,GPP,asd
2019-10-01,1.60024464130402,LE,asd
2019-10-01,0.736129224300385,Rainf,asd
2013-10-15,0.667452037334442,ET,asd
2013-10-15,2.28907012939453,GPP,asd
2013-10-15,0.667452037334442,LE,asd
2013-10-15,0.221830368041992,Rainf,asd
2014-10-15,1.8280473947525,ET,asd
2014-10-15,2.19306778907776,GPP,asd
2014-10-15,1.8280473947525,LE,asd
2014-10-15,1.63846731185913,Rainf,asd
2015-10-15,1.59484219551086,ET,asd
2015-10-15,2.29269886016846,GPP,asd
2015-10-15,1.59484219551086,LE,asd
2015-10-15,1.29938530921936,Rainf,asd
2016-10-15,1.72411739826202,ET,asd
2016-10-15,1.90884685516357,GPP,asd
2016-10-15,1.72411739826202,LE,asd
2016-10-15,2.57728385925293,Rainf,asd
2017-10-15,0.547317802906036,ET,asd
2017-10-15,2.35414505004883,GPP,asd
2017-10-15,0.547317802906036,LE,asd
2017-10-15,0.0979192331433296,Rainf,asd
2018-10-15,1.07389879226685,ET,asd
2018-10-15,2.58566784858704,GPP,asd
2018-10-15,1.07389879226685,LE,asd
2018-10-15,0.472849100828171,Rainf,asd
2019-10-15,1.11101484298706,ET,asd
2019-10-15,2.14679265022278,GPP,asd
2019-10-15,1.11101484298706,LE,asd
2019-10-15,0.4146908223629,Rainf,asd
2013-11-01,0.432065367698669,ET,asd
2013-11-01,2.07769513130188,GPP,asd
